case_id,eia_id,p_state,p_county,ylat,xlong,p_name,p_year,p_tech_pri,p_cap_ac,p_cap_dc,p_type,utility_name
59329,59329,CA,Monterey,36.421111,-121.340278,City of Soledad Water Reclamation,2014,WIND,1.0,,wind farm,"Foundation HA Energy Generation, LLC"
59330,59330,CA,Monterey,36.505,-121.451667,Taylor Farms,2014,WIND,1.0,,wind farm,"Foundation HA Energy Generation, LLC"
59331,59331,CA,Solano,38.233611,-122.0925,Anheuser-Busch #2,2014,WIND,1.6,,wind farm,"Foundation HA Energy Generation, LLC"
59332,59332,TX,Dawson,32.7,-101.741111,Mesquite Creek Wind,2015,WIND,211.2,,wind farm,Duke Energy Renewables Services
59384,59384,TX,Floyd,34.080556,-101.323611,South Plains Wind Phase I,2015,WIND,200.0,,wind farm,"Evergreen Wind, LLC"
59417,59417,TX,Crosby,33.738889,-101.485,Pleasant Hill Wind Energy Project,2015,WIND,20.0,,wind farm,Pleasant Hill Wind Energy LLC
59435,59435,SD,Clark,44.933333,-97.741389,Oak Tree Energy,2014,WIND,19.5,,wind farm,Consolidated Edison Development Inc.
59442,59442,TX,Comanche,31.8225,-98.690556,Logans Gap Wind LLC,2015,WIND,200.1,,wind farm,Pattern Operators LP
59448,59448,WI,Racine,42.709444,-87.885278,Waxdale,2012,WIND,3.0,,wind farm,"S.C. Johnson & Son, Inc."
59460,59460,OK,Kay,36.984167,-97.133611,"Kay Wind, LLC",2015,WIND,299.0,,wind farm,Southern Power Co
59475,59475,TX,Ochiltree,36.243889,-101.001389,Palo Duro Wind,2014,WIND,249.9,,wind farm,Palo Duro Wind
59490,59490,OR,Baker,44.425,-117.273889,Jett Creek Windfarm (Burnt River),2017,WIND,10.0,,wind farm,Jett Creek
59491,59491,OR,Baker,44.366944,-117.343889,Benson Creek Windfarm (Burnt River),2017,WIND,10.0,,wind farm,Benson Creek
59492,59492,OR,Baker,44.353056,-117.323056,Durbin Creek Windfarm (Burnt River),2017,WIND,10.0,,wind farm,Durbin Creek
59493,59493,OR,Baker,44.418056,-117.255,Prospector Windfarm (Burnt River),2017,WIND,10.0,,wind farm,Prospector
59494,59494,OR,Baker,44.381944,-117.273056,Willow Spring Windfarm (Burnt River),2017,WIND,10.0,,wind farm,Willow Spring
59547,59547,IN,Benton,40.620556,-87.378056,Fowler Ridge IV Wind Farm LLC,2016,WIND,150.0,,wind farm,Pattern Operators LP
59621,59621,TX,Deaf Smith,34.72,-102.253333,TX Jumbo Road Wind,2015,WIND,299.7,,wind farm,"TX Jumbo Road Wind, LLC"
59622,59622,MA,Plymouth,41.774444,-70.615833,Future Generation Wind,2016,WIND,8.0,,wind farm,Consolidated Edison Solutions Inc.
59629,59629,NY,Franklin,44.888889,-74.103333,Jericho Rise Wind Farm LLC,2016,WIND,77.7,,wind farm,Jericho Rise Wind Farm LLC
59637,59637,IA,Adams,40.92,-94.671667,Adams Wind,2015,WIND,154.3,,wind farm,MidAmerican Energy Co
59639,59639,MA,Bristol,41.745556,-71.117222,"631-56 Airport Owner, LLC",2012,WIND,2.0,,wind farm,"631-56 Airport Owner, LLC"
59654,59654,TX,Jim Hogg,27.18,-98.916667,Sendero,2015,WIND,78.0,,wind farm,"Sendero Wind Energy, LLC"
59655,59655,SD,Campbell,45.753333,-100.275,Campbell County Wind Farm,2015,WIND,94.3,,wind farm,Consolidated Edison Development Inc.
59684,59684,ND,Williams,48.533,-102.933,"Lindahl Wind Project, LLC",2017,WIND,150.0,,wind farm,"Enel Green Power NA, Inc."
59692,59692,RI,Providence,41.79413,-71.38919,NBC Field's Point Wind Farm,2012,WIND,4.5,,wind farm,Narragansett Bay Commission
59693,59693,VA,Virginia Beach,36.89155,-75.4916,Coastal Virginia Offshore Wind (CVOW) Pi,2021,WIND-OFFSHORE,12.0,,wind farm,Virginia Electric & Power Co
59712,59712,TX,Cameron,26.125979,-97.377599,"San Roman Wind I, LLC",2017,WIND,95.3,,wind farm,"Acciona Energy USA Global, LLC"
59724,59724,MA,Plymouth,42.175083,-70.728467,Scituate Wind,2012,WIND,1.5,,wind farm,Scituate Wind LLC
59725,59725,MA,Bristol,41.639061,-70.873372,Fairhaven Wind,2012,WIND,3.0,,wind farm,Fairhaven Wind LLC
59732,59732,TX,Baylor,33.628222,-99.411169,Green Pastures Wind I,2015,WIND,150.0,,wind farm,"Green Pastures Wind I, LLC"
59733,59733,TX,Knox,33.645964,-99.532944,Green Pastures Wind II,2015,WIND,150.0,,wind farm,"Green Pastures Wind II, LLC"
59734,59734,TX,Briscoe,34.432267,-101.237233,Briscoe Wind Farm,2015,WIND,150.0,,wind farm,"Briscoe Wind Farm, LLC"
59735,59735,IA,Linn,41.916558,-91.650897,Kirkwood Wind Turbine,2012,WIND,2.5,,wind farm,Kirkwood Community College
59736,59736,NE,Cherry,42.859103,-100.592439,"Valentine Wind, LLC",2014,WIND,1.9,,wind farm,"Valentine Wind, LLC"
59757,59757,MT,Carbon,45.165525,-108.693138,Pryor Mountain Wind,2021,WIND,239.8,,wind farm,PacifiCorp
59776,59776,IL,McLean,40.537,-89.019,Heartland Community College,2012,WIND,1.7,,wind farm,Heartland Community College
59797,59797,NJ,Hudson,40.652778,-74.117778,Bayonne MUA- Leitner-Poma Wind Turbine,2012,WIND,1.5,,wind farm,"SUEZ North America, Inc."
59817,59817,UT,Tooele,40.50303,-112.37059,Tooele Army Depot(CSG),2010,WIND,3.2,,wind farm,Tooele Army Depot
59837,59837,KS,Sumner,37.1146,-97.2376,Slate Creek Wind Project LLC,2015,WIND,150.0,,wind farm,"EDF Renewable Asset Holdings, Inc."
59838,59838,NM,Roosevelt,33.901781,-103.34675,Milo Wind Project LLC,2016,WIND,50.0,,wind farm,Boralex US Operations LLC
59888,59888,KS,Ford,37.4863,-99.9247,Bloom Wind,2017,WIND,178.2,,wind farm,CP Bloom Wind LLC
59902,59902,IL,McDonough,40.588568,-90.751828,Cardinal Point Wind,2020,WIND,150.0,,wind farm,Cardinal Point LLC
59903,59903,ND,McHenry,47.861531,-100.947664,New Frontier Wind,2018,WIND,100.0,,wind farm,Meadowlark Wind I LLC
59943,59943,TX,Glasscock,31.74325,-101.493407,Rattlesnake Den,2015,WIND,207.2,,wind farm,SunEdison LLC
59953,59953,NH,Hillsborough,43.06435,-72.00635,Antrim Wind,2019,WIND,28.8,,wind farm,Antrim Wind Energy LLC
59965,59965,UT,San Juan,37.886706,-109.36839,Latigo Wind Park,2016,WIND,62.1,,wind farm,AES Distributed Energy
59968,59968,NC,Perquimans,36.31,-76.42,"Desert Wind Farm, LLC",2016,WIND,208.0,,wind farm,Avangrid Power LLC
59972,59972,TX,Glasscock,31.727237,-101.582,Bearkat,2018,WIND,196.7,,wind farm,"Bearkat Wind Energy 1, LLC"
59974,59974,CO,El Paso,38.935,-104.212,Golden West Power Partners LLC,2015,WIND,250.0,,wind farm,"Golden West Power Partners, LLC"
59975,59975,CO,Kit Carson,39.334,-102.173,Carousel Wind Farm LLC,2015,WIND,150.0,,wind farm,"Carousel Wind Farm, LLC"
60013,60013,OK,Grant,36.927071,-97.696331,"Grant Wind, LLC",2016,WIND,151.8,,wind farm,Southern Power Co
60015,60015,OH,Hancock,41.101219,-83.644394,Findlay Wind Farm,2015,WIND,3.0,,wind farm,Findlay Wind Farm
60049,60049,CA,Alameda,37.713311,-121.640353,Golden Hills Wind,2015,WIND,85.9,,wind farm,"Golden Hills Wind, LLC"
60059,60059,TX,Starr,26.411689,-98.571554,Los Vientos V Wind Power,2015,WIND,110.0,,wind farm,Duke Energy Renewables Services
60069,60069,KS,Ness,38.697606,-99.729289,"Cedar Bluff Wind, LLC",2015,WIND,198.6,,wind farm,"Cedar Bluff Wind, LLC"
60087,60087,TX,Floyd,34.196962,-101.381494,South Plains II,2016,WIND,300.0,,wind farm,Onward Energy
60088,60088,ND,Morton,46.837569,-102.07455,Sunflower Wind Project,2016,WIND,104.0,,wind farm,Onward Energy
60104,60104,TX,Webb,27.32,-99.0,"Javelina Wind Energy, LLC",2015,WIND,249.7,,wind farm,"Javelina Wind Energy, LLC"
60126,60126,OH,Wyandot,40.718292,-83.22865,Harpster Wind,2016,WIND,1.5,,wind farm,"OEE XVII, LLC"
60128,60128,OH,Hancock,41.096111,-83.641381,Zephyr Wind,2015,WIND,4.5,,wind farm,"OEE XIX, LLC"
60132,60132,WV,Grant,39.200639,-79.140639,New Creek Wind,2016,WIND,103.0,,wind farm,"New Creek Wind, LLC"
60143,60143,CO,Huerfano,37.710444,-104.505464,Peak View Wind Farm,2016,WIND,60.8,,wind farm,"Black Hills Colorado Electric, LLC"
60145,60145,NM,Curry,34.734179,-103.108047,"Broadview Energy JN, LLC",2017,WIND,181.7,,wind farm,Pattern Operators LP
