feature_type,source,name,operator,capacity_mw,latitude,longitude
generator,wind,,,2.3,39.1853649,8.4391518
generator,wind,,,2.3,39.1866677,8.4500949
generator,wind,,,2.3,39.1907438,8.4258587
generator,wind,,,2.3,39.1996045,8.4340263
generator,wind,Naso di Gatto,Fera s.r.l.,2.3,44.377304,8.4130944
generator,wind,Naso di Gatto,Fera s.r.l.,2.3,44.3801701,8.4175228
generator,wind,Naso di Gatto,Fera s.r.l.,2.3,44.3796109,8.4139108
generator,wind,Naso di Gatto,Fera s.r.l.,2.3,44.3808361,8.4112746
generator,wind,,,2.3,41.2019501,15.4491208
generator,wind,,,2.3,41.2037724,15.4479782
generator,wind,,,2.3,41.2055927,15.4462669
generator,wind,,,2.3,41.2121487,15.4393147
generator,wind,,,2.3,41.2134905,15.4469214
generator,wind,,,2.3,41.214686,15.4430094
generator,wind,,,2.3,41.2147314,15.4388158
generator,wind,,,2.3,41.2160852,15.4406383
generator,wind,,,2.3,41.2182733,15.4405673
generator,wind,,,2.3,44.2720542,8.3903084
generator,wind,,,2.3,44.271648,8.3873834
generator,wind,,,2.3,44.2707332,8.3846678
generator,wind,,,2.3,44.2725346,8.3923209
generator,wind,,,2.3,41.2177153,15.4378439
generator,wind,,,2.3,39.2057939,8.4155195
generator,wind,,,2.3,39.1840158,8.4262863
generator,wind,,,2.3,39.1965612,8.4166959
generator,wind,,,2.3,39.2019433,8.4239678
generator,wind,,,2.2,37.9777401,12.7124983
generator,wind,,,2.2,37.9814032,12.7127437
generator,wind,,,2.2,37.9799203,12.7159225
generator,wind,,,2.2,37.9839985,12.7158276
generator,wind,,,2.1,40.7223745,16.1285471
generator,wind,,,2.1,40.7229505,16.1379552
generator,wind,,,2.1,40.7358262,16.1162961
generator,wind,,,2.1,40.7338057,16.1218935
generator,wind,,,2.1,40.7368009,16.111282
generator,wind,,,2.1,40.7375396,16.0989384
generator,wind,,,2.1,40.7385789,16.0948714
generator,wind,,,2.05,41.233526,15.4838025
generator,wind,,,2.05,41.2319203,15.4790497
generator,wind,,,2.05,41.2287009,15.4759061
generator,wind,,,2.05,41.226143,15.4936623
generator,wind,,,2.05,41.2233509,15.4923212
generator,wind,,,2.05,41.2205588,15.490948
generator,wind,,,2.05,41.2247712,15.4851973
generator,wind,,,2.05,41.2215191,15.4850793
generator,wind,,,2.05,41.2256427,15.4810989
generator,wind,,,2.05,41.2262075,15.4761314
generator,wind,,,2.05,41.2256588,15.4730415
generator,wind,,,2.05,41.2229555,15.4739642
generator,wind,,,2.05,41.1731854,15.1618273
generator,wind,,,2.05,41.1737302,15.1546363
generator,wind,,,2.05,41.167881,15.1574183
generator,wind,,,2.05,41.1680452,15.160679
generator,wind,,,2.05,41.16922,15.1646122
generator,wind,,RWE,2.0,41.0714721,14.4458667
generator,wind,,,2.0,43.650803,10.5902451
generator,wind,,,2.0,43.6547373,10.5987852
generator,wind,,,2.0,43.6540556,10.6119253
generator,wind,,,2.0,43.6546155,10.6049816
generator,wind,,C.V.A. S.p.A.,2.0,42.5365661,11.8511713
generator,wind,,Compagnia Valdostana Acque,2.0,42.5116099,11.8467056
generator,wind,,C.V.A. S.p.A.,2.0,42.5165755,11.8663082
generator,wind,,C.V.A. S.p.A.,2.0,42.5176085,11.8628858
generator,wind,,C.V.A. S.p.A.,2.0,42.5247319,11.8610669
generator,wind,,C.V.A. S.p.A.,2.0,42.529304,11.8544475
generator,wind,,C.V.A. S.p.A.,2.0,42.5342888,11.8526944
generator,wind,,C.V.A. S.p.A.,2.0,42.534555,11.8577593
generator,wind,,C.V.A. S.p.A.,2.0,42.5009096,11.8186922
generator,wind,,C.V.A. S.p.A.,2.0,42.5014081,11.8589658
generator,wind,,C.V.A. S.p.A.,2.0,42.5020207,11.8653153
generator,wind,,C.V.A. S.p.A.,2.0,42.5038322,11.8558431
generator,wind,,C.V.A. S.p.A.,2.0,42.5039194,11.8279032
