operator,capacity_mw,place,municipality,province,year_realized,latitude,longitude
Zonnepark Wijkerbroek B.V.,20.76,WIJK BIJ DUURSTEDE,Wijk bij Duurstede,Utrecht,2024,51.96927936612142,5.3042849490053126
Zonneweide Groetpolder B.V.,20.344,NIEUWE NIEDORP,Hollands Kroon,Noord-Holland,2022,52.77610171539697,4.930910174485188
FP Lux VB Solar Netherlands Hoogeveen B.V.,19.72,FLUITENBERG,Hoogeveen,Drenthe,2021,52.745085401427694,6.459702004910772
BEE IJsselmuiden B.V.,19.429,IJSSELMUIDEN,Kampen,Overijssel,2021,52.57947041456014,5.978988242712055
Solar Bijsterhuizen B.V.,19.135,NIJMEGEN,Nijmegen,Gelderland,2023,51.83638461857975,5.770591495074678
Zonnepark Broekstraat B.V.,18.86,KLARENBEEK,Voorst,Gelderland,2021,52.18749072637137,6.05970125643372
Zunneweide Riessen B.V.,18.546,RIJSSEN,Rijssen-Holten,Overijssel,2020,52.296904275448775,6.469747082504182
Zonnepark Havebos B.V.,18.4212,TERBORG,Oude IJsselstreek,Gelderland,2024,51.92451089893081,6.390415778675469
Solarpark Groene Hoek II B.V.,18.002,HOOFDDORP,Haarlemmermeer,Noord-Holland,2019,52.29767661604672,4.71477897482887
Zonnepark Valgenweg B.V.,17.458,DELFZIJL,Eemsdelta,Groningen,2023,53.30274906817243,7.004061443203602
KS NL5 B.V.,17.23,LOCHEM,Lochem,Gelderland,2022,52.16479189790335,6.455174711983529
Zonnepark Sluiskil B.V.,17.2,TERNEUZEN,Terneuzen,Zeeland,2023,51.28720773396388,3.821402322368813
Flevokustzon B.V.,17.13,LELYSTAD,Lelystad,Flevoland,2019,52.559766754535424,5.5238066335315885
***,17.121,ALMELO,Almelo,Overijssel,2020,52.37948595938674,6.643203736145408
FP Lux REIO PV Netherlands Schalkwijk Coöperatief U.A.,17.1,SCHALKWIJK,Houten,Utrecht,2024,51.9922179038576,5.217378224657769
Zonnepark Tholen B.V.,17,THOLEN,Tholen,Zeeland,2020,51.51589379283625,4.186251087566744
Tpsolar Schoenaker B.V.,16.857,BEUNINGEN GLD,Beuningen,Gelderland,2024,51.841652662583414,5.735422596248288
BEE Stadskanaal B.V.,16.465,ONSTWEDDE,Stadskanaal,Groningen,2022,52.98094539783922,6.988211409275393
Zonnepark Noordermeerdijk Midden,16.446,CREIL,Noordoostpolder,Flevoland,2025,52.78814087940977,5.622763452397766
Zonnepark Agger B.V.,16.37748,WOENSDRECHT,Woensdrecht,Noord-Brabant,2025,51.4218262940961,4.29261127875964
De Zonnewilg B.V.,16.3,NETTERDEN,Oude IJsselstreek,Gelderland,2025,51.86292966560277,6.329708956132407
FP Lux REIO PV Netherlands Zwolle B.V.,16.272,ZWOLLE,Zwolle,Overijssel,2021,52.459565371646335,6.122700053469914
Zonnig Eimersweg B.V.,16.259,EIBERGEN,Berkelland,Gelderland,2023,52.068876287533755,6.619639735597739
Zonnepark Houten Oostrumsdijkje B.V.,16.163,HOUTEN,Houten,Utrecht,2021,52.01467029283265,5.211044521654992
BEE Medel B.V.,16.012,ECHTELD,Neder-Betuwe,Gelderland,2022,51.917006165067974,5.484050586988386
Zonnepark Schotland B.V.,16.011,RUTTEN,Noordoostpolder,Flevoland,2025,52.80915754179186,5.644400082805917
RR SPV B.V.,16,RAALTE,Raalte,Overijssel,2025,52.424240213569234,6.339828256346591
KS NL13 B.V.,16,WEHL,Doetinchem,Gelderland,2025,51.97348418697629,6.224719735680992
Solarius Sun United B.V.,15.96075,KRUININGEN,Reimerswaal,Zeeland,2023,51.466922347225186,4.02506731532031
BEE Stadskanaal B.V.,15.773,1E EXLOERMOND,Borger-Odoorn,Drenthe,2022,52.92338996255824,6.915479600609656
Zonnepark De Mussels B.V.,15.76,BEILEN,Midden-Drenthe,Drenthe,2021,52.857803640711126,6.483487616962076
FP Lux VB Solar Netherlands Plegt-Vos B.V.,15.704,KLOOSTERHAAR,Hardenberg,Overijssel,2020,52.5161109439933,6.698482594458375
